dataset, score
1, -1.192292 
1, -1.089975 
1, -0.992850 
1, -0.858044 
1, -0.848158 
1, -0.834775 
1, -0.808850 
1, -0.794302 
1, -0.718165 
1, -0.715315 
1, -0.668381 
1, -0.660044 
1, -0.656666 
1, -0.645423 
1, -0.637837 
1, -0.636342 
1, -0.618805 
1, -0.613920 
1, -0.613919 
1, -0.607298 
1, -0.589335 
1, -0.587769 
1, -0.584956 
1, -0.581787 
1, -0.575962 
1, -0.575822 
1, -0.568089 
1, -0.561482 
1, -0.559705 
1, -0.550448 
1, -0.549738 
1, -0.544576 
1, -0.536893 
1, -0.531204 
1, -0.530380 
1, -0.526761 
1, -0.526091 
1, -0.522213 
1, -0.520629 
1, -0.519502 
1, -0.513963 
1, -0.513921 
1, -0.511628 
1, -0.509259 
1, -0.508047 
1, -0.507610 
1, -0.506885 
1, -0.505224 
1, -0.502702 
1, -0.501412 
1, -0.500061 
1, -0.499864 
1, -0.494691 
1, -0.493641 
1, -0.492660 
1, -0.485390 
1, -0.484712 
1, -0.482472 
1, -0.482140 
1, -0.479711 
1, -0.478790 
1, -0.471307 
1, -0.470705 
1, -0.466961 
1, -0.464915 
1, -0.462687 
1, -0.456328 
1, -0.455235 
1, -0.452900 
1, -0.452764 
1, -0.445769 
1, -0.445614 
1, -0.444174 
1, -0.440795 
1, -0.439468 
1, -0.436697 
1, -0.435452 
1, -0.434897 
1, -0.434242 
1, -0.434174 
1, -0.431952 
1, -0.426247 
1, -0.424174 
1, -0.422284 
1, -0.417472 
1, -0.414233 
1, -0.413694 
1, -0.413250 
1, -0.412793 
1, -0.409222 
1, -0.409202 
1, -0.405804 
1, -0.405173 
1, -0.401147 
1, -0.399343 
1, -0.398805 
1, -0.393803 
1, -0.393767 
1, -0.391596 
1, -0.386527 
1, -0.385763 
1, -0.384941 
1, -0.384486 
1, -0.378835 
1, -0.377753 
1, -0.374331 
1, -0.372407 
1, -0.372265 
1, -0.372020 
1, -0.371154 
1, -0.370919 
1, -0.368583 
1, -0.367102 
1, -0.366266 
1, -0.364953 
1, -0.363758 
1, -0.360817 
1, -0.359078 
1, -0.357402 
1, -0.357402 
1, -0.357402 
1, -0.356262 
1, -0.353647 
1, -0.353210 
1, -0.352277 
1, -0.350718 
1, -0.350608 
1, -0.348089 
1, -0.346713 
1, -0.343300 
1, -0.343256 
1, -0.342035 
1, -0.334167 
1, -0.331077 
1, -0.330973 
1, -0.330964 
1, -0.329535 
1, -0.328325 
1, -0.325919 
1, -0.323765 
1, -0.321661 
1, -0.319174 
1, -0.318153 
1, -0.316636 
1, -0.316263 
1, -0.314318 
1, -0.313553 
1, -0.311579 
1, -0.310947 
1, -0.308094 
1, -0.307229 
1, -0.305414 
1, -0.303860 
1, -0.303796 
1, -0.302729 
1, -0.301470 
1, -0.301076 
1, -0.298073 
1, -0.296140 
1, -0.296098 
1, -0.294498 
1, -0.292460 
1, -0.291735 
1, -0.290366 
1, -0.290001 
1, -0.287124 
1, -0.285779 
1, -0.285347 
1, -0.285150 
1, -0.284827 
1, -0.278587 
1, -0.275787 
1, -0.274198 
1, -0.272543 
1, -0.268830 
1, -0.268234 
1, -0.268096 
1, -0.264603 
1, -0.262333 
1, -0.261734 
1, -0.261159 
1, -0.259475 
1, -0.257828 
1, -0.256715 
1, -0.254485 
1, -0.249445 
1, -0.247324 
1, -0.240237 
1, -0.235150 
1, -0.234766 
1, -0.233707 
1, -0.229723 
1, -0.228454 
1, -0.228420 
1, -0.227384 
1, -0.223750 
1, -0.223614 
1, -0.221028 
1, -0.220880 
1, -0.218307 
1, -0.207939 
1, -0.207856 
1, -0.204368 
1, -0.203662 
1, -0.202066 
1, -0.200536 
1, -0.200502 
1, -0.197919 
1, -0.194307 
1, -0.194117 
1, -0.190540 
1, -0.183222 
1, -0.172367 
1, -0.163548 
1, -0.162907 
1, -0.161472 
1, -0.149868 
1, -0.139430 
1, -0.135487 
1, -0.116467 
1, -0.106003 
1, -0.103326 
1, -0.101975 
1, -0.101223 
1, -0.095982 
1, -0.095380 
1, -0.076057 
1, -0.064152 
1, -0.060813 
1, 0.000000 
1, 0.000000 
1, 0.000000 
1, 0.012359 
1, 0.021122 
1, 0.038235 
1, 0.105302 
1, 0.115506 
1, 0.211575 
1, 0.269635 
1, 0.374940 
1, -1.192292 
2, -0.846756 
2, -0.652785 
2, -0.648957 
2, -0.582311 
2, -0.538452 
2, -0.536089 
2, -0.525280 
2, -0.518371 
2, -0.516319 
2, -0.511101 
2, -0.499577 
2, -0.498723 
2, -0.487154 
2, -0.484727 
2, -0.481707 
2, -0.474647 
2, -0.462145 
2, -0.461917 
2, -0.460074 
2, -0.459369 
2, -0.457146 
2, -0.451594 
2, -0.442964 
2, -0.439980 
2, -0.429520 
2, -0.426950 
2, -0.424784 
2, -0.422025 
2, -0.417483 
2, -0.416352 
2, -0.413811 
2, -0.413751 
2, -0.413033 
2, -0.410998 
2, -0.408675 
2, -0.405041 
2, -0.402904 
2, -0.401258 
2, -0.400990 
2, -0.397230 
2, -0.395476 
2, -0.395146 
2, -0.393079 
2, -0.392467 
2, -0.389800 
2, -0.388729 
2, -0.383326 
2, -0.381265 
2, -0.380990 
2, -0.379164 
2, -0.367973 
2, -0.363811 
2, -0.362953 
2, -0.360597 
2, -0.360315 
2, -0.359147 
2, -0.357261 
2, -0.357118 
2, -0.352709 
2, -0.351059 
2, -0.348718 
2, -0.347618 
2, -0.341564 
2, -0.341294 
2, -0.340531 
2, -0.338572 
2, -0.337775 
2, -0.337632 
2, -0.335511 
2, -0.335403 
2, -0.333190 
2, -0.330766 
2, -0.330479 
2, -0.329485 
2, -0.324800 
2, -0.322637 
2, -0.321496 
2, -0.319422 
2, -0.318592 
2, -0.317233 
2, -0.317203 
2, -0.314583 
2, -0.313667 
2, -0.313174 
2, -0.312684 
2, -0.310421 
2, -0.310099 
2, -0.308716 
2, -0.306890 
2, -0.306096 
2, -0.305493 
2, -0.302591 
2, -0.301888 
2, -0.299499 
2, -0.299070 
2, -0.297127 
2, -0.296811 
2, -0.293691 
2, -0.293016 
2, -0.290635 
2, -0.288060 
2, -0.287683 
2, -0.286449 
2, -0.281933 
2, -0.281247 
2, -0.280263 
2, -0.278257 
2, -0.277016 
2, -0.273896 
2, -0.272509 
2, -0.271541 
2, -0.270940 
2, -0.269492 
2, -0.269271 
2, -0.267539 
2, -0.264463 
2, -0.264067 
2, -0.264067 
2, -0.264067 
2, -0.263184 
2, -0.262823 
2, -0.262045 
2, -0.261248 
2, -0.259916 
2, -0.258720 
2, -0.258362 
2, -0.258029 
2, -0.255959 
2, -0.255814 
2, -0.251513 
2, -0.250502 
2, -0.250238 
2, -0.249713 
2, -0.248896 
2, -0.248813 
2, -0.248215 
2, -0.247714 
2, -0.247077 
2, -0.244444 
2, -0.243441 
2, -0.241099 
2, -0.239987 
2, -0.238169 
2, -0.237502 
2, -0.235799 
2, -0.235455 
2, -0.233114 
2, -0.230452 
2, -0.230411 
2, -0.229559 
2, -0.229370 
2, -0.226318 
2, -0.220917 
2, -0.217030 
2, -0.215086 
2, -0.213946 
2, -0.213297 
2, -0.212568 
2, -0.207551 
2, -0.207485 
2, -0.206194 
2, -0.205835 
2, -0.205438 
2, -0.203393 
2, -0.200177 
2, -0.196284 
2, -0.193871 
2, -0.192015 
2, -0.191794 
2, -0.189417 
2, -0.187013 
2, -0.185609 
2, -0.183540 
2, -0.182935 
2, -0.179411 
2, -0.178502 
2, -0.176579 
2, -0.176091 
2, -0.175918 
2, -0.175374 
2, -0.175346 
2, -0.173577 
2, -0.167453 
2, -0.164553 
2, -0.163374 
2, -0.153873 
2, -0.150751 
2, -0.142008 
2, -0.138557 
2, -0.137111 
2, -0.137076 
2, -0.127853 
2, -0.124772 
2, -0.122805 
2, -0.117482 
2, -0.113629 
2, -0.112070 
2, -0.111219 
2, -0.110880 
2, -0.109831 
2, -0.109000 
2, -0.108836 
2, -0.105736 
2, -0.089861 
2, -0.086588 
2, -0.084479 
2, -0.082097 
2, -0.081222 
2, -0.078996 
2, -0.074095 
2, -0.072890 
2, -0.072315 
2, -0.064776 
2, -0.059662 
2, -0.059519 
2, -0.057942 
2, -0.032063 
2, -0.031583 
2, -0.031080 
2, -0.014730 
2, -0.011190 
2, -0.001649 
2, -0.001602 
2, 0.000000 
2, 0.000000 
2, 0.000000 
2, 0.035032 
2, 0.036610 
2, 0.056852 
2, 0.059612 
2, 0.122100 
2, 0.123151 
2, 0.132616 
2, 0.169290 
2, 0.250080 
2, 0.304266 
2, 0.360107 
2, 0.524748 
2, 0.707100 
2, 0.851714 
2, -0.846756 
3, -1.166618 
3, -1.065156 
3, -1.024257 
3, -1.005887 
3, -0.957832 
3, -0.868983 
3, -0.841381 
3, -0.837881 
3, -0.813188 
3, -0.803849 
3, -0.800728 
3, -0.800590 
3, -0.798368 
3, -0.790143 
3, -0.789268 
3, -0.785342 
3, -0.784153 
3, -0.757839 
3, -0.734357 
3, -0.729267 
3, -0.722918 
3, -0.717150 
3, -0.706439 
3, -0.705797 
3, -0.677253 
3, -0.662237 
3, -0.659734 
3, -0.659293 
3, -0.659253 
3, -0.653680 
3, -0.647176 
3, -0.645290 
3, -0.641155 
3, -0.637245 
3, -0.636832 
3, -0.636557 
3, -0.634748 
3, -0.632219 
3, -0.629327 
3, -0.626235 
3, -0.623848 
3, -0.621866 
3, -0.620268 
3, -0.619335 
3, -0.617542 
3, -0.612349 
3, -0.606453 
3, -0.602438 
3, -0.601926 
3, -0.594616 
3, -0.590374 
3, -0.589987 
3, -0.587399 
3, -0.583866 
3, -0.580266 
3, -0.576627 
3, -0.572377 
3, -0.571674 
3, -0.571652 
3, -0.565092 
3, -0.564207 
3, -0.560837 
3, -0.558935 
3, -0.558412 
3, -0.552982 
3, -0.550870 
3, -0.548002 
3, -0.547597 
3, -0.546197 
3, -0.544571 
3, -0.544539 
3, -0.541999 
3, -0.541759 
3, -0.540976 
3, -0.540837 
3, -0.536494 
3, -0.534171 
3, -0.533541 
3, -0.532711 
3, -0.532582 
3, -0.531459 
3, -0.531003 
3, -0.530979 
3, -0.530167 
3, -0.529937 
3, -0.529443 
3, -0.528522 
3, -0.528026 
3, -0.527808 
3, -0.524822 
3, -0.523955 
3, -0.522830 
3, -0.521466 
3, -0.519551 
3, -0.519029 
3, -0.518699 
3, -0.518371 
3, -0.517434 
3, -0.515490 
3, -0.514232 
3, -0.511906 
3, -0.509720 
3, -0.507443 
3, -0.507338 
3, -0.506771 
3, -0.506086 
3, -0.506035 
3, -0.505947 
3, -0.505516 
3, -0.505268 
3, -0.504912 
3, -0.504236 
3, -0.502085 
3, -0.501247 
3, -0.500981 
3, -0.496817 
3, -0.496608 
3, -0.495477 
3, -0.492721 
3, -0.491615 
3, -0.491615 
3, -0.491615 
3, -0.489881 
3, -0.489187 
3, -0.488806 
3, -0.485353 
3, -0.482093 
3, -0.481060 
3, -0.477864 
3, -0.477135 
3, -0.476827 
3, -0.474604 
3, -0.473169 
3, -0.472256 
3, -0.471459 
3, -0.470641 
3, -0.470076 
3, -0.468936 
3, -0.467165 
3, -0.467128 
3, -0.465910 
3, -0.464271 
3, -0.463673 
3, -0.462044 
3, -0.461669 
3, -0.457818 
3, -0.456658 
3, -0.455212 
3, -0.454528 
3, -0.452479 
3, -0.446763 
3, -0.442539 
3, -0.442305 
3, -0.440970 
3, -0.439407 
3, -0.439151 
3, -0.439042 
3, -0.437395 
3, -0.434757 
